,genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin,uniprot_id
660,Granulicella mallensis,940614,MP5ACTX8 ,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,GCA_000178955.2,57.9,6.2,HQ687087,54.3,4.0,25.5,24.0,27.0,28.0,24.0,UP000584867
661,Halocynthiibacter arcticus,1579316,PAMC 20958 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Halocynthiibacter,GCA_000812665.2,53.2,4.4,KP197665,54.5,10.0,21.0,,,27.0,17.0,UP000070371
662,Marisediminicola antarctica,674079,ZS314,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Marisediminicola,GCA_009930795.1,67.2,3.4,GQ496083,55.6,0.0,20.5,18.0,23.0,26.0,26.0,UP000464507
663,Tenacibaculum todarodis,1850252,LPB0136,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,GCA_001889045.1,30.7,3.0,KX066858,50.0,4.0,25.0,,,25.0,21.0,UP000181898
664,Octadecabacter temperatus,1458307,SB1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter,GCA_001187845.1,54.7,3.3,KF836544,53.5,4.0,20.0,,,25.0,21.0,UP000184809
665,Francisella halioticida,549298,Shimane-1 ,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,GCA_002211785.1,31.2,2.2,JF290376,50.8,8.0,20.0,,,25.0,17.0,UP000681516
666,Hymenobacter nivis,1850093,P3,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,GCA_003149515.1,62.5,5.0,LC153096,57.4,0.0,15.0,,,25.0,25.0,UP000317646
667,Pedobacter cryoconitis,188932,A37,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,GCA_001590605.1,38.8,6.0,AJ438170,50.6,1.0,15.0,,,25.0,24.0,UP000590706
668,Arthrobacter alpinus,656366,S6-3 ,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,GCA_001445575.1,60.6,4.3,GQ227413,55.9,1.0,22.5,20.0,25.0,25.0,24.0,UP000182725
669,Pseudoalteromonas arctica,394751,A 37-1-2,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_000238395.4,39.2,4.7,DQ787199,53.0,4.0,12.5,10.0,15.0,25.0,21.0,UP000771112
670,Colwellia beringensis,1967665,NB097-1,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,GCA_002076895.1,38.5,4.7,MG016490,52.6,0.0,11.5,10.0,13.0,25.0,25.0,UP000202259
671,Flavobacterium psychrophilum,96345,Ordal 3068,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_000754405.1,32.7,2.7,AB078060,50.6,5.0,17.5,15.0,20.0,23.0,18.0,UP000832070
672,Paenisporosarcina antarctica,417367,N-05(,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina,GCA_004367585.1,37.0,4.0,EF154512,54.4,0.0,17.5,17.0,18.0,23.0,23.0,UP000294292
673,Aliivibrio salmonicida,40269,HI 7751,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,GCA_000196495.1,38.9,4.7,NR_044844,52.6,1.0,15.0,,,22.0,21.0,UP000280219
674,Marinobacter psychrophilus,330734,20041,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,GCA_001043175.1,53.8,4.0,DQ060402,55.2,0.0,17.0,16.0,18.0,22.0,22.0,UP000673914
675,Shewanella psychrophila,225848,WP2,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,GCA_002005305.1,44.3,6.4,AJ551089,53.3,0.0,12.5,10.0,15.0,20.0,20.0,UP000189545
676,Reinekea forsetii,1336806,Hel1_31_D35,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Reinekea,GCA_002795845.1,53.0,3.7,CP011797,53.7,4.0,12.0,,,19.0,15.0,UP000229757
677,Photobacterium profundum,74109,DSJ4,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,GCA_000196255.1,41.7,6.4,D21226,53.8,4.0,10.0,8.0,12.0,18.0,14.0,UP000241946
678,Shewanella benthica,43661,W 145,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,GCA_900476435.1,45.9,4.4,X82131,53.4,0.0,5.0,,,10.0,10.0,UP000735759
679,Escherichia coli,562,K-12 MG1655,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,NC_000913,50.8,4.6,NC_000913_rrsB,54.4,8.0,37.0,,,46.0,38.0,UP001154820
