,Cellular component,Molecular function,Ligand,Biological process,PTM,no_keywords,Technical term,Domain
644813,,Protease,Nucleotide-binding,,,,Reference proteome,
644824,,,,,,,Reference proteome,
644908,,,,,Phosphoprotein,,Reference proteome,
644918,,DNA-binding,,,,,Reference proteome,
644919,,,,,,,Reference proteome,
645014,,Ribosomal protein,,,,,Reference proteome,
645043,,,,,,,Reference proteome,
645430,,,,,,,Reference proteome,
645767,,,,,,,Reference proteome,
645874,,DNA-binding,,,,,Reference proteome,
646389,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
646422,Cytoplasm,Transferase,S-adenosyl-L-methionine,tRNA processing,,,,
646439,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
646460,Cytoplasm,,Nucleotide-binding,Septation,,,,
646474,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
646478,,Lyase,Metal-binding,Leucine biosynthesis,,,,
646480,Cytoplasm,Transferase,Metal-binding,,,,,
646507,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
646541,,Ribosomal protein,,,,,Reference proteome,
646551,,Ribosomal protein,,,,,Reference proteome,
646573,Cytoplasm,DNA-binding,Nucleotide-binding,SOS response,,,Reference proteome,
646599,,Ribosomal protein,,,,,Reference proteome,
646601,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
646604,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
646606,,rRNA-binding,,,,,Reference proteome,
646609,,rRNA-binding,,,,,Reference proteome,
646610,,tRNA-binding,,,,,Reference proteome,
646613,,rRNA-binding,,,,,Reference proteome,
646615,,tRNA-binding,,,,,Reference proteome,
646620,Cytoplasm,Chaperone,,,,,Reference proteome,
646621,,Ribosomal protein,,,,,Reference proteome,
646623,,rRNA-binding,,,,,Reference proteome,
646624,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
646628,,rRNA-binding,,,,,Reference proteome,
646798,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
646801,,rRNA-binding,,,,,,
646814,,Ribosomal protein,,,,,,
646841,,Isomerase,Metal-binding,,,,,
646855,Cytoplasm,Protease,Nucleotide-binding,Stress response,,,,Repeat
646932,,Protease,Nucleotide-binding,,,,,Repeat
646992,,,,,,,Reference proteome,
647043,,,,,,,Reference proteome,
647092,,,,,,,Reference proteome,
647115,,Ribosomal protein,,,,,Reference proteome,
647196,Cytoplasm,,,,,,Reference proteome,
648019,,,,,,True,,
648081,,Ribosomal protein,,,,,,
649100,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
649136,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
649141,,Ribosomal protein,,,,,Reference proteome,
649146,,tRNA-binding,,,,,Reference proteome,
649157,,tRNA-binding,,,,,Reference proteome,
649168,,tRNA-binding,,,,,Reference proteome,
649169,,Ribosomal protein,,,,,Reference proteome,
649178,,rRNA-binding,,,,,Reference proteome,
649244,,Ligase,Nucleotide-binding,Lipid metabolism,,,,
649258,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,
649269,,Transferase,,,,,,
649293,,rRNA-binding,,,,,,
649337,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
649341,,Transferase,,Tricarboxylic acid cycle,,,,Lipoyl
649353,,rRNA-binding,,,,,,
649380,,rRNA-binding,,,,,,
649431,,rRNA-binding,,,,,,
649447,,Ribosomal protein,,,,,,
649459,,rRNA-binding,,,,,,
649471,,Ribosomal protein,,,,,Reference proteome,
649506,,Hydrolase,,,,,Reference proteome,
649523,,,,,,,Reference proteome,
650138,,,,,,True,,
650687,,Chaperone,Nucleotide-binding,,,,,
651220,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
651225,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
651243,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
651247,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
651260,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,Reference proteome,
651271,Membrane,Protease,Zinc,Cell division,,,Reference proteome,Transmembrane helix
651314,,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
651328,,Topoisomerase,Zinc,,,,Reference proteome,Zinc-finger
651329,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,
651330,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
651337,Cytoplasm,tRNA-binding,Nucleotide-binding,Translation regulation,,,Reference proteome,Repeat
651338,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
651342,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,Reference proteome,
651403,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
651449,,Oxidoreductase,,Deoxyribonucleotide synthesis,,,Reference proteome,
651453,Cytoplasm,DNA-binding,,Transcription regulation,,,Reference proteome,
651475,,,Metal-binding,Transport,,,Reference proteome,Repeat
651484,Cytoplasm,,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
651505,,rRNA-binding,,,Methylation,,Reference proteome,
651518,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
651525,,Oxidoreductase,Pyridoxal phosphate,,,,Reference proteome,
651548,Cytoplasm,Chaperone,,Stress response,,,Reference proteome,
651549,,rRNA-binding,,,,,Reference proteome,
651555,Cytoplasm,Repressor,Zinc,Transcription regulation,,,Reference proteome,
651557,,tRNA-binding,,,,,Reference proteome,
651558,,tRNA-binding,,,,,Reference proteome,
651564,,Ribosomal protein,,,,,Reference proteome,
651570,,Ribosomal protein,,,,,Reference proteome,
651572,,rRNA-binding,,,,,Reference proteome,
651574,,rRNA-binding,,,,,Reference proteome,
651582,Cytoplasm,RNA-binding,,,,,Reference proteome,
651583,Cytoplasm,Hydrolase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
651585,,rRNA-binding,,,,,Reference proteome,
651587,,rRNA-binding,,,,,Reference proteome,
651590,,tRNA-binding,,,,,Reference proteome,
651591,,RNA-binding,,,,,Reference proteome,Repeat
651623,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,
651633,,DNA-binding,,Translation regulation,,,Reference proteome,
651663,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
651674,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
651680,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
651724,Cytoplasm,Initiation factor,,Protein biosynthesis,,,Reference proteome,
651726,Cytoplasm,RNA-binding,,Transcription termination,,,Reference proteome,
651749,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
651760,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,Reference proteome,
651774,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
651775,,tRNA-binding,,,,,Reference proteome,
651777,,rRNA-binding,,,,,Reference proteome,
651780,,rRNA-binding,,,,,Reference proteome,
651795,Cytoplasm,,,Protein biosynthesis,Methylation,,Reference proteome,
651804,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
651807,,rRNA-binding,,,,,Reference proteome,
651820,Cytoplasm,Sigma factor,,Transcription regulation,,,,
651853,,Transferase,Pyridoxal phosphate,,,,,
651964,,,,,,,Reference proteome,
652121,,,,,,,Reference proteome,
652132,,Ribosomal protein,,,,,Reference proteome,
652189,,,Nucleotide-binding,Cell division,,,Reference proteome,
652397,,Ribosomal protein,,,,,Reference proteome,
652607,,,,,Phosphoprotein,,Reference proteome,
652641,,,,,,,Reference proteome,
652675,,,,Transport,,,Reference proteome,
652818,,DNA-binding,,,,,Reference proteome,
652967,,,,,Phosphoprotein,,Reference proteome,
653039,,,,,,,Reference proteome,
653109,,Ribosomal protein,,,,,Reference proteome,
653749,,Hydrolase,,,,,,
653991,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
653997,,Ribosomal protein,,,,,Reference proteome,
654014,,tRNA-binding,,,,,Reference proteome,
654037,,Ligase,Nucleotide-binding,,,,Reference proteome,
654071,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
654142,Cytoplasm,Isomerase,Metal-binding,Xylose metabolism,,,Reference proteome,
654148,,Ribosomal protein,,,,,Reference proteome,
654161,,Ligase,Nucleotide-binding,Lipid metabolism,,,Reference proteome,
654179,,rRNA-binding,,,,,Reference proteome,
654223,Cytoplasm,Chaperone,,,,,Reference proteome,
654227,,rRNA-binding,,,,,Reference proteome,
654304,,Transferase,,,,,Reference proteome,
654307,,tRNA-binding,,,,,Reference proteome,
654923,,,,,,,Reference proteome,
655127,,Ribosomal protein,,,,,Reference proteome,
655773,,Ribosomal protein,,,,,Reference proteome,
657667,,,Nucleotide-binding,,,,Reference proteome,
657922,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
657933,Membrane,Translocase,Ubiquinone,,Quinone,,,Repeat
657948,Membrane,Protease,Zinc,Cell division,,,,Transmembrane helix
657960,Cytoplasm,Chaperone,Zinc,Stress response,,,,Zinc-finger
657979,,Oxidoreductase,Metal-binding,Isoprene biosynthesis,,,,
658008,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
658015,,Lyase,Metal-binding,Leucine biosynthesis,,,,
658056,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
658059,Cytoplasm,Transferase,Metal-binding,,,,,
658090,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,,
658108,,Topoisomerase,Nucleotide-binding,,,,,
658216,,rRNA-binding,,,,,,
658217,,rRNA-binding,,,,,,
658218,,Ribosomal protein,,,,,,
658224,,rRNA-binding,,,Methylation,,,
658234,,Ribosomal protein,,,,,,
658241,,tRNA-binding,,,,,,
658242,,rRNA-binding,,,,,,
658252,,rRNA-binding,,,,,,
658257,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
658270,,rRNA-binding,,,,,,
658301,Cytoplasm,Hydrolase,NAD,One-carbon metabolism,,,,
658307,,Ribosomal protein,,,,,,
658312,,Protease,Zinc,,,,,
658374,,Ribosomal protein,,,,,,
658401,,Oxidoreductase,Thiamine pyrophosphate,,,,,
658417,,Ribosomal protein,,,,,,
658436,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
658439,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
658457,,Protease,Nucleotide-binding,,,,,Repeat
658481,,Oxidoreductase,NADP,Tricarboxylic acid cycle,,,,
658530,,Ribosomal protein,,,,,,
658686,,,Metal-binding,,,,,
658697,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
658730,Cytoplasm,Chaperone,,,,,,
658847,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,,
658951,,tRNA-binding,,,,,,
658971,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
659113,,Ribosomal protein,,,,,,
659209,,Ribosomal protein,,,,,,
659267,,Transferase,,,,,,
659401,,Transferase,,,,,,
659418,,DNA-binding,,,,,,
659454,,Ribosomal protein,,,,,,
659481,,Ribosomal protein,,,,,,
659613,,,,,Phosphoprotein,,,
660353,,Ribosomal protein,,,,,,
661744,,,,Transport,,,,
662437,,,,Transport,,,,
662501,,Oxidoreductase,Metal-binding,Glutamate biosynthesis,,,,Glutamine amidotransferase
664205,,rRNA-binding,,,,,Reference proteome,
664208,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
664221,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
664280,,rRNA-binding,,,,,Reference proteome,
664357,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
664420,,rRNA-binding,,,,,Reference proteome,
664427,,tRNA-binding,,,,,Reference proteome,
664428,,rRNA-binding,,,,,Reference proteome,
664792,,Ribosomal protein,,,,,Reference proteome,
665234,,Ribosomal protein,,,,,Reference proteome,
665356,,Ribosomal protein,,,,,Reference proteome,
666006,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
666009,,tRNA-binding,,,,,Reference proteome,
666011,,tRNA-binding,,,,,Reference proteome,
666017,,Ribosomal protein,,,,,Reference proteome,
666022,,rRNA-binding,,,,,Reference proteome,
666028,,tRNA-binding,,,,,Reference proteome,
666030,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
666032,,rRNA-binding,,,,,Reference proteome,
666238,,Sigma factor,,Transcription regulation,,,Reference proteome,
666270,Cytoplasm,RNA-binding,,Cell wall biogenesis/degradation,,,Reference proteome,
666370,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,
666374,,Ribosomal protein,,,,,Reference proteome,
666525,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,
666684,,Ribosomal protein,,,,,Reference proteome,
668101,,Ribosomal protein,,,,,Reference proteome,
669183,Cytoplasm,,,,,,Reference proteome,
669541,Membrane,,,,,,Reference proteome,Transmembrane helix
670512,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
670929,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,
670956,Cytoplasm,Hydrolase,NAD,One-carbon metabolism,,,Reference proteome,
671164,,rRNA-binding,,,,,Reference proteome,
671166,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
671167,,Ribosomal protein,,,,,Reference proteome,
671440,,tRNA-binding,,,,,Reference proteome,
671975,,,,,,,Reference proteome,
675270,,Ribosomal protein,,,,,Reference proteome,
677674,,Elongation factor,,Protein biosynthesis,,,Reference proteome,
677841,,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
677876,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,Reference proteome,
677904,,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
678016,,Oxidoreductase,Nucleotide-binding,DNA synthesis,,,Reference proteome,
678052,,rRNA-binding,,,,,Reference proteome,
678121,,Ribosomal protein,,,,,Reference proteome,
678131,,Ribosomal protein,,,,,Reference proteome,
678167,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,
678173,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
678187,,Ribosomal protein,,,,,Reference proteome,
678320,,Ribosomal protein,,,,,Reference proteome,
678322,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
678325,,rRNA-binding,,,,,Reference proteome,
678335,,rRNA-binding,,,,,Reference proteome,
678336,,rRNA-binding,,,,,Reference proteome,
678339,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
678343,,Ribosomal protein,,,,,Reference proteome,
678345,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
678351,,rRNA-binding,,,,,Reference proteome,
678356,,tRNA-binding,,,,,Reference proteome,
678361,,rRNA-binding,,,,,Reference proteome,
678417,,Ribosomal protein,,,,,Reference proteome,
678793,Cytoplasm,,,Stress response,,,Reference proteome,
678814,Cytoplasm,,,Stress response,,,Reference proteome,
679416,,Ribosomal protein,,,,,Reference proteome,
679423,,Ribosomal protein,,,,,Reference proteome,
679644,Cytoplasm,,,Stress response,,,Reference proteome,
679888,,Topoisomerase,Zinc,,,,Reference proteome,Zinc-finger
679898,,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
679918,Cytoplasm,tRNA-binding,Nucleotide-binding,Translation regulation,,,Reference proteome,Repeat
679920,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,Reference proteome,
679924,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
679925,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
679928,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
679946,Membrane,Protease,Zinc,,,,Reference proteome,Transmembrane helix
679951,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
679986,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,
679999,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,Reference proteome,
680010,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
680055,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
680072,Cytoplasm,Transferase,,Transcription regulation,,,Reference proteome,
680073,,Oxidoreductase,,Deoxyribonucleotide synthesis,,,Reference proteome,
680080,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
680119,,rRNA-binding,,,,,Reference proteome,
680122,,tRNA-binding,,,,,Reference proteome,
680153,,rRNA-binding,,,,,Reference proteome,
680155,,rRNA-binding,,,,,Reference proteome,
680158,Cytoplasm,RNA-binding,,,,,Reference proteome,
680187,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
680198,Cytoplasm,,,Protein biosynthesis,Methylation,,Reference proteome,
680206,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
680245,Cytoplasm,RNA-binding,,Transcription termination,,,Reference proteome,
680259,Cytoplasm,Protease,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
680262,,DNA-binding,,Translation regulation,,,Reference proteome,
680268,Cytoplasm,Initiation factor,,Protein biosynthesis,,,Reference proteome,
680278,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
680282,Cytoplasm,Chaperone,,,,,Reference proteome,
680312,Cytoplasm,Repressor,Zinc,Transcription regulation,,,Reference proteome,
680314,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
680315,,rRNA-binding,,,,,Reference proteome,
680317,,rRNA-binding,,,,,Reference proteome,
680326,,RNA-binding,,,,,Reference proteome,Repeat
680358,,tRNA-binding,,,,,Reference proteome,
680359,,Ribosomal protein,,,,,Reference proteome,
680382,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
680388,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,
680408,,rRNA-binding,,,,,Reference proteome,
680422,,Ribosomal protein,,,,,Reference proteome,
680435,,Oxidoreductase,Pyridoxal phosphate,,,,Reference proteome,
680451,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,Reference proteome,
680470,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,
680483,Cytoplasm,,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
680506,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
680508,,tRNA-binding,,,,,Reference proteome,
680510,,rRNA-binding,,,,,Reference proteome,
680516,,rRNA-binding,,,,,Reference proteome,
680551,,rRNA-binding,,,Methylation,,Reference proteome,
680673,,,,,,,Reference proteome,
680683,,,,,Phosphoprotein,,Reference proteome,
680874,,Ribosomal protein,,,,,Reference proteome,
680980,,DNA-binding,,,,,Reference proteome,
681007,,,,,,,Reference proteome,
681131,,,,,,,Reference proteome,
681154,,Lyase,Pyridoxal phosphate,,,,Reference proteome,
681240,,,Nucleotide-binding,Cell division,,,Reference proteome,
681293,,,,,Phosphoprotein,,Reference proteome,
681332,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
681599,,Ribosomal protein,,,,,Reference proteome,
682199,,Ribosomal protein,,,,,Reference proteome,
682219,,Ribosomal protein,,,,,Reference proteome,
682249,,,,,,,Reference proteome,
683077,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
683117,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
683168,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
683179,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,Coiled coil
